time,open,high,low,close,volume
2025-07-02 01:00:00,1359.08,1364.03,1349.77,1349.99,6788
2025-07-02 05:00:00,1349.94,1360.44,1345.59,1356.29,7246
2025-07-02 09:00:00,1356.29,1386.03,1351.0,1382.5,6644
2025-07-02 13:00:00,1382.59,1393.71,1374.51,1390.79,8793
2025-07-02 17:00:00,1390.69,1423.01,1388.96,1422.87,8808
2025-07-02 21:00:00,1422.75,1433.54,1418.75,1419.11,4619
2025-07-03 01:00:00,1422.14,1423.63,1401.31,1403.58,7222
2025-07-03 05:00:00,1403.4,1411.77,1397.89,1411.6,7557
2025-07-03 09:00:00,1411.77,1422.15,1361.22,1374.85,7660
2025-07-03 13:00:00,1374.62,1390.02,1356.26,1371.17,9520
2025-07-03 17:00:00,1371.15,1380.22,1358.28,1376.08,8954
2025-07-03 21:00:00,1376.02,1377.73,1372.96,1374.19,4641
2025-07-04 01:00:00,1374.3,1388.55,1370.96,1381.4,6704
2025-07-04 05:00:00,1381.31,1392.29,1377.91,1387.49,7270
2025-07-04 09:00:00,1387.24,1389.97,1368.08,1379.41,5912
2025-07-04 13:00:00,1379.42,1393.83,1378.05,1385.99,7577
2025-07-04 17:00:00,1386.0,1386.52,1385.66,1385.99,39
2025-07-07 01:00:00,1398.7,1401.23,1377.39,1389.26,7323
2025-07-07 05:00:00,1389.27,1389.63,1361.12,1361.64,7964
2025-07-07 09:00:00,1361.39,1369.12,1344.78,1367.8,6263
2025-07-07 13:00:00,1367.81,1369.53,1351.59,1365.03,8460
2025-07-07 17:00:00,1365.13,1373.36,1360.98,1368.03,9540
2025-07-07 21:00:00,1368.04,1375.12,1364.8,1372.72,5596
2025-07-08 01:00:00,1375.66,1389.83,1366.23,1389.07,7511
2025-07-08 05:00:00,1389.05,1389.82,1361.93,1374.84,7223
2025-07-08 09:00:00,1374.85,1385.89,1366.5,1370.66,6384
2025-07-08 13:00:00,1370.66,1386.43,1355.09,1360.77,8109
2025-07-08 17:00:00,1360.59,1376.78,1344.47,1364.42,9437
2025-07-08 21:00:00,1364.42,1376.45,1361.24,1369.52,5449
2025-07-09 01:00:00,1369.41,1372.69,1347.53,1351.76,7617
2025-07-09 05:00:00,1351.76,1356.35,1344.81,1352.04,7773
2025-07-09 09:00:00,1351.9,1360.73,1344.49,1349.06,6714
2025-07-09 13:00:00,1349.13,1365.63,1346.57,1355.2,8472
2025-07-09 17:00:00,1355.18,1359.44,1341.56,1349.81,8530
2025-07-09 21:00:00,1347.9,1351.8,1344.75,1349.31,5312
2025-07-10 01:00:00,1349.85,1352.69,1345.89,1351.53,6282
2025-07-10 05:00:00,1351.59,1353.65,1347.63,1352.88,6485
2025-07-10 09:00:00,1352.38,1367.11,1351.48,1365.44,5447
2025-07-10 13:00:00,1365.4,1370.1,1343.13,1360.64,7807
2025-07-10 17:00:00,1360.67,1369.82,1357.06,1361.69,7879
2025-07-10 21:00:00,1361.71,1369.59,1357.92,1362.02,5529
2025-07-11 01:00:00,1361.51,1365.28,1354.77,1357.86,5293
2025-07-11 05:00:00,1357.85,1364.76,1355.46,1358.78,5104
2025-07-11 09:00:00,1358.83,1365.5,1346.14,1357.28,6147
2025-07-11 13:00:00,1357.36,1377.35,1351.13,1368.02,7544
2025-07-11 17:00:00,1367.97,1398.55,1367.97,1397.88,9193
2025-07-11 21:00:00,1397.87,1403.39,1391.6,1391.64,3173
2025-07-14 01:00:00,1381.55,1390.16,1373.45,1380.24,2693
2025-07-14 05:00:00,1380.08,1393.69,1379.1,1392.7,3105
2025-07-14 09:00:00,1392.6,1402.92,1379.27,1392.76,5412
2025-07-14 13:00:00,1393.06,1404.48,1365.33,1377.33,7401
2025-07-14 17:00:00,1377.35,1389.0,1369.67,1370.61,9845
2025-07-14 21:00:00,1370.59,1371.72,1362.31,1368.4,5327
